## 1st set.  introduced in Lesson 1

# grammatical-endings

-o - noun               :

# nouns

domo - house            :
tablo - table           :
viro - man     {virile} :
floro - flower          :
pomo - apple            :

# nouns-animals

kato - cat        :
hundo - dog       :
bovo - cow/bull   :

# articles

la - the                :

# verbs

esas - is, am, are, be  +
iras - goes             :
venas - comes           :
kuras - runs            :
marchas - walks         +
amas - loves            :
manjas - eats           :




## 2nd set. learn for Lesson 2

# grammatical-endings

-a - adjective      :

# adjectives-colors

reda - red          +
blua - blue         :
verda - green       :{verdant}
flava - yellow      :
oranjea - orange    +
purpura - purple    :
blanka - white      :
nigra - black       :
griza - gray        :
bruna - brown       :{brunette}
orea - gold         +{Au, aurum}
arjentea - silver   +{Ag, Argentina}

# nouns

libro - book        :
arboro - tree       +
amiko - friend      :

# numbers

zero - zero     +
un - one        +{unity, union, unify}
du - two        :{duet, dual, duo, duplicate}
tri - three     :{triplet, tricycle, triad}
quar - four     +{quartet, quarter}
kin - five      +{quintuplet}
sis - six       +{sextuplet}
sep - seven     :{septuplet}
ok - eight      :{octagon}
non - nine      +{nonuplet}
dek - ten       :{decimal}
cent - hundred  :{centimeter, century, percent}
mil - thousand  :{millimeter}


