# suffixes

-ec- - -ness    boneco - goodness
-ing- - holder    plumingo - penholder
-estr- - leader    domestro - head of house
-ism- - system, theory    alkoholismo
-em- - tendency    parolema - talkative
-um- - to do something unspecified    plenumi - to fulfill
-ad- - prolonged or habitual    kurado - running (is fun)
-iĝ- - to become    viviĝi - to come alive
-aĵ- - thing produced from an action    likaĵo - leakage, sendaĵo - transmission
-end- - obligation   pagenda - obligated to pay
-er- - small particle    panero - crumb, akvero - drop
