-aĉ- - contemptible, wretched     domaĉo - shack
-an- - member of      urbano - member of city, citizen
-ar- - collection     birdaro - flock
-ebl- - -able         legebla - legible
-eg- - much larger    virego - giant
-ej- - place          hundejo - doghouse
-et- - much smaller   dometo - cottage
-iĉ- - masculine      boviĉo - bull
-ido - offspring      bovido - calf
-ig- - to cause       mortigi - to kill
-il- - instrument     tranĉilo - knife
-in- - feminine       virino - woman
-ind- - worthy of     laŭdinda - praiseworthy
-ist- - profession of person    instruisto - teacher
-uj- - container      florujo - vase
-ul- - person         belulo - beautiful person
